,Mario,,,,,Donkey Kong,,,,,Link,,,,,Samus,,,,,Yoshi,,,,,Kirby,,,,,Fox,,,,,Pikachu,,,,,Luigi,,,,,Ness,,,,,Captain Falcon,,,,, Jigglypuff,,,,,Peach,,,,,Bowser,,,,,Ice Climbers,,,,,Sheik,,,,,Zelda,,,,,Dr. Mario,,,,,Pichu,,,,,Falco,,,,,Marth,,,,,Lucina,,,,,Young Link,,,,,Ganondorf,,,,,Mewtwo,,,,,Roy,,,,,Chrom,,,,,Mr. G&W,,,,,Meta Knight,,,,,Pit,,,,,Zero Suit Samus,,,,,Wario,,,,,Snake,,,,,Ike,,,,,Pokemon Trainer,,,,,Diddy Kong,,,,,Lucas,,,,,Sonic,,,,,King Dedede,,,,,Olimar,,,,,Lucario,,,,,R.O.B.,,,,,Toon Link,,,,,Wolf,,,,,Villager,,,,,Mega Man,,,,,Wii Fit Trainer,,,,,Rosalina,,,,,Little Mac,,,,,Greninja,,,,,Palutena,,,,,Pac-Man,,,,,Robin,,,,,Shulk,,,,,Bowser Jr,,,,,Duck Hunt,,,,,Ryu,,,,,Ken,,,,,Cloud,,,,,Corrin,,,,,Bayonetta,,,,,Inkling,,,,,Ridley,,,,,Richter,,,,,King K. Rool,,,,,Isabelle,,,,,Incineroar,,,,,Piranha Plant,,,,,Joker,,,,,Hero,,,,,Banjo,,,,,Terry,,,,,Byleth,,,,,Min Min,,,,,Steve,,,,,Sephiroth,,,,,Pyra/Mythra,,,,,Kazuya,,,,,Sora,,,,,Mii Brawler,,,,,Mii Swordfighter,,,,,Mii Gunner,,,
,Dark Wizzy,37,,21%,,JohnY,12,,25%,,Bernie,15,,29.7%,,sisqui,82,,29%,,Yoshidora,50,,33.6%,,JeJaJeJa,9,,34.6%,,Light,100,,44.2%,,Neeroz,34,,23.9%,,Elegant,35,,20.5%,,Scend,62,,28.4%,,Fatality,47,,22.9%,,BassMage,30,,88.2%,,MuteAce,54,,34.4%,,Hero,37,,29.5%,,Big D,27,,48.2%,,Rox,28,,20.8%,,ALtek,10,,41.7%,,BacoN,13,,27.7%,,NaetorU,38,,42.9%,,Tilde,46,,29.8%,,Rizeasu,15,,55.6%,,Leon,70,,36.8%,,Skittles,48,,30.3%,,Komegura,6,,100%,,WaDi,13,,76.5%,,Kola,98,,23%,,Mr. R,23.5,,23.3%,,Maister,63,,41.9%,,Yei,12,,27.6%,,Tet,7,,33.3%,,Marss,32,,25.5%,,Glutonny,108,,51.9%,,DIO,49,,15.1%,,Tope,6,,17.9%,,Atelier,29,,17.7%,,Tweek,46.5,,21%,,Nitox,29,,45.3%,,KEN,70,,25%,,ZAKI,17,,49.3%,,Shuton,88,,31.6%,,Armadillo,11,,50%,,Zomba,112,,26.5%,,JoJoDaHoBo,21,,22.3%,,Oryon,58,,19.4%,,Kept,21,,63.6%,,Peabnut,38,,25.7%,,varun,17,,20.9%,,Dabuz,83,,60.6%,,Peanut,10,,62.5%,,Lea,23,,21.5%,,Chag,105,,24.6%,,Tea,47,,24.3%,,Rizeasu,11.5,,24.2%,,Kome,53,,35.3%,,Yoda Cage,11,,53.7%,,Raito,15,,41.7%,,Asimo,58,,40.4%,,Vendetta,24,,16.6%,,Sparg0,101,,37.9%,,MKLeo,67,,60.1%,,Bloom4Eva,33,,30%,,Shirayuki,26,,27.1%,,Mezcaul,29,,50.9%,,T3 DOM,16,,37.6%,,KirbyKid,7,,35%,,Jaka,12,,28.2%,,Skyjay,49,,62%,,Regi Shikimi,6.5,,48.1%,,eMass,48,,20.1%,,Akakikusu,15,,34.9%,,OwlBBs,7,,22.2%,,Riddles,90,,52%,,MKLeo,78,,53.8%,,ProtoBanham,42,,22.6%,,acola,68,,17.2%,,KEN,67,,32.5%,,Shuton,94,,25.6%,,Riddles,63,,28.8%,,Kameme,34,,34.9%,,Rizeasu,13,,25.2%,,Capitancito,13,,61.9%,,Capitancito,30,,77.9%
,Kurama,20,,11.4%,,HIKARU,10,,20.8%,,Rido,9,,17.8%,,Teaser,36,,12.7%,,Suarez,30,,20.1%,,Konokururu,9,,34.6%,,Paseriman,49,,21.7%,,H4DS,28,,19.6%,,WaKa,28,,16.4%,,Gackt,55,,25.2%,,Jogibu,37,,18%,,Braixen,3,,8.8%,,Ling,48,,30.6%,,LeoN,36,,28.7%,,WaDi,13,,23.2%,,Sylph,18,,13.4%,,Ty,4,,16.7%,,Oryon,10,,21.3%,,Nietono,19,,21.5%,,Larry Lurr,34,,22%,,Ignaize,6,,22.2%,,ProtoBanham,45,,23.7%,,Toast,25,,15.8%,,,,,,,Chewie,4,,23.5%,,Goblin,78,,18.3%,,Lancelot,20,,19.8%,,Regi Shikimi,24,,15.9%,,BONK!,8,,18.4%,,Nata,6,,28.6%,,Naitosharp,18,,14.3%,,Loaf,23,,11.1%,,ApolloKage,43,,13.3%,,Joe-J,6,,17.9%,,Quidd,23,,14.1%,,Aaron,26,,11.8%,,ChocoTaco,11,,17.2%,,Sonix,58,,20.7%,,Wheezer,6,,17.4%,,Dabuz,79,,28.4%,,Polinomis,6,,27.3%,,BigBoss,60,,14.2%,,Sigma,16,,17%,,Ouch!?,41,,13.7%,,JAVI ON EARTH,6,,18.2%,,TriM,26,,17.6%,,Injelly,13,,16%,,Homika,33,,24.1%,,tarakotori,4,,25%,,Tarik,16,,15%,,Raflow,93,,21.8%,,MoDzai,31,,16%,,Whisky,8,,16.8%,,jaredisking1,23,,15.3%,,Sweshi,5,,24.4%,,Sekai Doggo,8,,22.2%,,Ikan,19,,13.2%,,Jahzz0,21,,14.5%,,Kola,34.5,,12.9%,,SHADIC,28,,25.1%,,Lima,15,,16.%,,Colorondo8,16,,16.7%,,Nair^,11,,19.3%,,Noxumbra,9,,21.2%,,Huto,6,,30%,,Nery,12,,28.2%,,Mystery Sol,10,,12.7%,,Brood,4,,29.6%,,Luminous,29,,12.2%,,Vivi,10,,23.3%,,Raito,6.5,,20.6%,,Destany,17,,9.8%,,Rizeasu,25.5,,17.6%,,Dabuz,20.5,,11.1%,,Jake,55,,13.9%,,Ned,36,,17.5%,,Cosmos,62,,16.9%,,Tarik,30,,13.7%,,komorikiri,15,,15.4%,,Injelly,11,,21.4%,,Vikerkaar,4,,19%,,C.Kaleb,3,,7.8%
,Nao,19,,10.8%,,acola,8,,16.7%,,RaZe,6,,11.9%,,quiK,35,,12.4%,,Bluesky,11,,7.4%,,Guilheww,5,,19.2%,,ZD,12,,5.3%,,Enki,16,,11.2%,,Luugi,21,,12.3%,,Syrup,26,,11.9%,,Ogey,37,,18%,,Hungrybox,1,,2.9%,,Umeki,13,,8.3%,,Pollotopio,19,,15.1%,,Kurumis,6,,10.7%,,Mr. R,18,,13.4%,,Ray,4,,16.7%,,Shissho,8,,17%,,Blacktwins13,12.5,,14.1%,,MASA,17,,11%,,Yei,6,,22.2%,,Mr. E,45,,23.7%,,Jdizzle,21,,13.2%,,,,,,,,,,,,Flow,57,,13.4%,,Lavish,13,,12.9%,,Monte,12,,8%,,Rox,6,,13.8%,,Lunamado,5.5,,26.2%,,Choco,12,,9.6%,,Huto,15,,7.2%,,MVD,43,,13.3%,,Toxex,5,,14.9%,,Beast,18,,11%,,Ryuoh,21,,9.5%,,JaZaR,7,,10.9%,,Peli,29,,10.4%,,Atomsk,5,,14.5%,,Myran,36,,12.9%,,Tsu,4,,18.2%,,Anathema,38,,9%,,Ang,15,,16%,,Jakal,26,,8.7%,,BobbyWasabi,4,,12.1%,,Kameme,24,,16.2%,,John Numbers,10,,12.3%,,Bloom4Eva,6,,4.4%,,Jmk3008,2,,12.5%,,Ripka,12,,11.2%,,Lui$,48,,11.2%,,EKING,21,,10.8%,,Tuitt,8,,16.8%,,Uncivil ninja,14,,9.3%,,Mechakoopa,2,,9.8%,,Zane,5,,13.9%,,Munekin,18,,12.5%,,AndresFn,21,,14.5%,,Skar,18,,6.8%,,Yei,6,,5.4%,,Mottsuan,9,,8.2%,,Space,15,,15.6%,,Momon,7,,12.3%,,YoseFu,8,,18.8%,,ZAKI,5,,25%,,kept,5.5,,12.9%,,Sharpy,10,,12.7%,,Scend,2,,14.8%,,Tsubotsubo,22,,9.2%,,Nietono,5.5,,12.8%,,ZAKI,6.5,,20.6%,,Rizeasu,16,,9.2%,,Sparg0,17,,11.7%,,Pink Fresh,17,,9.2%,,Yonni,46,,11.7%,,Tweek,27,,13.1%,,Sparg0,24,,6.5%,,Tea,27,,12.3%,,Maister,12,,12.3%,,JMafia,8,,15.5%,,Tsu,2,,9.5%,,Tsumusuto,2.5,,6.5%
,SpamCop,12,,6.8%,,ZoZeF,3.5,,7.3%,,T,5,,9.9%,,IcyMist,20,,7.1%,,Jmafia,10,,6.7%,,Fzekan,3,,11.5%,,Sticccy,10,,4.4%,,ESAM,15,,10.5%,,Scot,13,,7.6%,,PeW,22,,10.1%,,Sean,23,,11.2%,,,,,,,Nuggetz,11,,7%,,DarkThunder,11,,8.8%,,Spammage,5,,8.9%,,Eim,14,,10.4%,,ven,2,,8.3%,,Tsumusuto,6,,12.8%,,NAKAT,5,,5.6%,,Gogeta,8,,5.2%,,,,,,,Yei,9,,4.7%,,Suinoko,11,,6.9%,,,,,,,,,,,,HIKARU,31,,7.3%,,CurryGovernor,6,,5.9%,,LA GRIMACE,8,,5.3%,,Abadango,5.5,,12.6%,,Z minus,2.5,,11.9%,,Doorstop,11,,8.8%,,Jordan,14,,6.7%,,AlanDiss,24,,7.4%,,San,3,,9%,,Puppeh,14,,8.6%,,Etsuji,15,,6.8%,,Rinkururu,6,,9.4%,,Sonido,28,,10%,,Franku,4,,11.6%,,Tsubotsubo,31,,11.1%,,Hanadon,1,,4.5%,,WaDi,22.5,,5.3%,,Manzoku,9,,9.6%,,Moxi,26,,8.7%,,Panda Bair,2,,6.1%,,Repo,22,,14.9%,,MeetLeo,7,,8.6%,,yamaD,4,,2.9%,,,,,,,IceKnight,8,,7.5%,,Chase,27,,6.3%,,JDV,20,,10.3%,,Synergy,6,,12.6%,,FuerzaDON,13,,8.7%,,Slime,1,,4.9%,,embo_Z,4,,11.1%,,Vendetta,17,,11.8%,,takera,20,,13.8%,,Niko,16,,6%,,Haven,6,,5.4%,,frawg,8,,7.3%,,Wonf,9,,9.4%,,Rydra,6,,10.5%,,Riddles,4.5,,10.6%,,DanyBoy,2,,10%,,Axel~,5,,11.8%,,JM,3,,3.8%,,Dmitrii,1,,7.4%,,Lemmon,20,,8.4%,,Nair,3.5,,8.1%,,Tearbear,4,,12.7%,,LISUTO,7,,4%,,Yei,6,,4.1%,,Omuatsu,16,,8.6%,,DDog,28,,7.1%,,Rizeasu,18,,8.7%,,Cloudy,20,,5.4%,,Axiom XL,23,,10.5%,,Lea,11.5,,11.8%,,Juanpi,5.5,,10.7%,,Danklin,1,,4.8%,,Amiin,2,,5.2%
,Oryon,10.5,,6%,,Tubasuwa,3,,6.3%,,Otakuni,3,,5.9%,,Yaura,18,,6.4%,,Floyd,7,,4.7%,,,,,,,Comet,8,,3.5%,,Abadango,15,,10.5%,,Yamanaction,13,,7.6%,,ATATA,18,,8.3%,,Huto,13.5,,6.6%,,,,,,,Leaf,9,,5.7%,,Gogesta,9,,7.2%,,Lubra,2,,3.6%,,Kameme,12,,8.9%,,Naskino,2,,8.3%,,Aiyu,6,,12.8%,,drybie,4,,4.5%,,Zomba,7.5,,4.9%,,,,,,,Spectral,6,,3.2%,,Kobe,9,,5.7%,,,,,,,,,,,,Mugen,22,,5.2%,,Jonhy,6,,5.9%,,Extra,7,,4.7%,,Harry,3,,6.9%,,,,,,,shion,9,,7.2%,,SBF,9,,4.3%,,0mart,18,,5.5%,,Baren,3,,9%,,Soar,13.5,,8.3%,,Zinoto,11,,5%,,Barco,5,,7.8%,,Taikei,17,,6.1%,,Ling,1.5,,4.3%,,Noi,11,,3.8%,,,,,,,Aaron,15.5,,3.7%,,Lv.1,6,,6.4%,,Larry Lurr,24.5,,8.2%,,,,,,,MPg,19,,12.8%,,Dags,7,,8.6%,,Yuzu,4,,2.9%,,,,,,,iStudying,7,,6.5%,,Jayce,23,,5.4%,,Sinji,20,,10.3%,,Xillion,4,,8.4%,,Nicko,7,,4.7%,,BTraytor,1,,4.9%,,skWiirrel,2,,5.6%,,AndresFn,14,,9.8%,,Munekin,14.5,,10%,,YOC,15,,5.6%,,Tsubotsubo,2.5,,2.2%,,Gooby,7,,6.4%,,Shaneak,6,,6.3%,,Todayzz,3,,5.3%,,Meli,3,,7.1%,,,,,,,B-Rice,3,,7.1%,,BullHall,3,,3.8%,,,,,,,Marss,19,,8%,,Big Stew,2,,4.7%,,KR,3,,9.5%,,Anality,6,,3.5%,,Deox6,5,,3.4%,,Xerzal,13,,7%,,Onin,26,,6.6%,,Cali,11,,5.3%,,Luminous,17,,4.6%,,acola,13.5,,6.2%,,Rox,7,,7.2%,,ESAM,5,,9.7%,,SkWiirrel,1,,4.8%,,Pineda,1,,2.6%
,Zenyou,9,,5.1%,,SlushieV1,3,,6.3%,,LinkS.,3,,5.9%,,Abadango,16,,5.7%,,Meme,7,,4.7%,,,,,,,Streakz,7,,3.1%,,DM,14,,9.8%,,Vi,10,,5.8%,,PkChris,15,,6.9%,,Andrik,11,,5.4%,,,,,,,Razo,6,,3.8%,,Lunamado,6.5,,5.2%,,Hammerbro,2,,3.6%,,VoiD,11,,8.2%,,Soluna,1,,4.2%,,JaZaR,4,,8.5%,,SpeedyBlueDude,3,,3.4%,,GotM,6,,3.9%,,,,,,,PiXL,3,,1.6%,,Supahsemmie,9,,5.7%,,,,,,,,,,,,Javi,18,,4.2%,,tk3,4,,4%,,Player 7,6,,4%,,Meta-Main,2,,4.6%,,,,,,,Cali,8.5,,6.8%,,Axiom XL,7,,3.4%,,Shogun,13,,4%,,G-P,3,,9%,,DDee,12.5,,7.6%,,Z,10,,4.5%,,R4YMOND,3,,4.7%,,TonyZTank,15,,5.4%,,Peli,1,,2.9%,,Klaatu,11,,3.8%,,,,,,,zackray,12,,2.8%,,Vivid,6,,6.4%,,Atelier,16,,5.4%,,,,,,,Noluck,4,,2.7%,,Zomba,5.5,,6.7%,,WaDi,3.5,,2.6%,,,,,,,JW,6,,5.6%,,Abadango,22.5,,5.3%,,Tooky,11,,5.7%,,Enarmonia,3,,6.3%,,SoulArts,6,,4%,,Trance,0.5,,2.4%,,Wisdom,1,,2.8%,,Sandstorm,5,,3.5%,,Nito,7,,4.8%,,Akasa,10,,3.8%,,Dan,2,,1.8%,,Geist,7,,6.4%,,Burst,6,,6.3%,,Paco,1,,1.8%,,Liam,1,,2.4%,,,,,,,Mr.Zercon,2,,4.7%,,Seesaw,2,,2.5%,,,,,,,Omega,13,,5.5%,,Tsu,2,,4.7%,,Ryunoske,1,,3.2%,,OG~Mustaine,5,,2.9%,,Bernie,4,,2.8%,,Peckham,10,,5.4%,,DDee,21,,5.3%,,Soar,8.5,,4.1%,,Tickle,17,,4.6%,,Ferps,12,,5.5%,,Kurama,6,,6.2%,,Leo D. Haki,3,,5.8%,,,,,,,,,,
,Ludo,9,,5.1%,,Nalga,2,,4.2%,,Zomba,2.5,,5%,,Toura,15,,5.3%,,Burst,6,,4%,,,,,,,Momon,7,,3.1%,,Tachyon,6,,4.2%,,Momon,9,,5.3%,,Tony Pajamas,7,,3.2%,,Gatsby,10,,4.9%,,,,,,,Kie,4,,2.5%,,Nanoash,2,,1.6%,,Futari no Kiwami Ah!,1,,1.8%,,Phuzix,9,,6.7%,,Sunry,1,,4.2%,,,,,,,Marce,3,,3.4%,,Kofi,6,,3.9%,,,,,,,Rox,3,,1.6%,,ElleGo,8,,5%,,,,,,,,,,,,ZoZeF,10,,2.4%,,Elvis,4,,4%,,Pollotopio,4.5,,3%,,Viola,2,,4.6%,,,,,,,Shoe,8,,6.4%,,BeatyBean,5,,2.4%,,Grape,12,,3.7%,,rm8,2,,6%,,Noi,12,,7.3%,,Kojika Yoshio,9,,4.1%,,Rizeo,2,,3.1%,,Wrath,12,,4.3%,,,,,,,MFA,9,,3.2%,,,,,,,Luma,11,,2.6%,,Marvelous_Marco,5,,5.3%,,RyuKai,11,,3.7%,,,,,,,Loading...,4,,2.7%,,Chunky,5,,6.1%,,MaT,1.5,,1.1%,,,,,,,Capsize,6,,5.6%,,Gen,15,,3.5%,,C.Kaleb,6,,3.1%,,iGreg!,3,,6.3%,,tru4,5,,3.3%,,,,,,,Jagabata,1,,2.8%,,Special_K,3,,2.1%,,Hover,5,,3.5%,,Luminous,10,,3.8%,,,,,,,Samuuu,6,,5.5%,,Showers,5,,5.2%,,,,,,,Nathan,1,,2.4%,,,,,,,Rizeo,2,,4.7%,,Nanon,1,,1.3,,,,,,,Zackray,12,,5%,,HOPE,1,,2.3%,,Bear,1,,3.2%,,Aegis,5,,2.9%,,TKM,3,,2.1%,,Justice,9,,4.9%,,Tropped,19,,4.8%,,Pokepen,7,,3.4%,,Blacktwins13,14,,3.8%,,Maw,8,,3.7%,,Whisky,4,,4.1%,,1004,2,,3.9%,,,,,,,,,,
